index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,highest_ood_test_4,highest_ood_test_4_std,highest_ood_test_5,highest_ood_test_5_std,highest_ood_test_6,highest_ood_test_6_std,highest_ood_test_7,highest_ood_test_7_std,highest_ood_test_8,highest_ood_test_8_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,final_ood_test_4,final_ood_test_4_std,final_ood_test_5,final_ood_test_5_std,final_ood_test_6,final_ood_test_6_std,final_ood_test_7,final_ood_test_7_std,final_ood_test_8,final_ood_test_8_std,last_final_ood_test
1,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/elliptic/gat/stage1/001_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 32 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels32_K3,0,1043.43,0.005,0.0005,0.1,32,3,100.0,0.0,83.17,0.9,81.35,0.95,100.0,0.0,75.36,2.96,77.0,3.37,75.95,1.38,67.08,3.34,63.58,3.12,62.23,1.88,61.77,5.58,71.54,4.87,65.23,4.28,74.26,5.69,69.98,4.83,60.14,4.49,57.91,6.34,56.62,6.3,56.59,8.61,65.21,11.57,60.73,7.02,60.73
2,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels32_K5,search_logs_frontdoor/elliptic/gat/stage1/002_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels32_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 32 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels32_K5,0,981.82,0.005,0.0005,0.1,32,5,100.0,0.0,80.69,1.52,81.57,2.9,100.0,0.0,76.39,3.62,79.07,3.62,75.19,1.77,65.81,1.44,63.99,1.43,63.23,4.51,62.3,8.71,69.39,4.72,62.24,3.01,73.55,2.61,69.01,1.14,60.0,0.62,57.49,0.86,56.76,4.16,57.72,8.44,62.99,1.88,56.4,0.88,56.4
3,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/elliptic/gat/stage1/003_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 64 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels64_K3,0,983.79,0.005,0.0005,0.1,64,3,100.0,0.0,81.37,0.85,82.53,1.92,100.0,0.0,78.34,2.65,80.35,2.24,73.92,2.59,62.69,5.75,60.13,7.22,58.56,6.64,63.99,6.38,69.35,4.22,64.31,3.47,73.19,5.85,68.65,5.33,52.96,3.89,51.43,2.14,49.93,2.18,52.03,5.51,59.56,4.15,57.21,2.38,57.21
4,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels64_K5,search_logs_frontdoor/elliptic/gat/stage1/004_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels64_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 64 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.1_hidden_channels64_K5,0,977.79,0.005,0.0005,0.1,64,5,100.0,0.0,80.36,1.97,83.76,0.51,100.0,0.0,77.97,1.41,81.62,4.79,73.2,1.96,63.47,2.81,62.93,4.92,62.63,5.88,67.31,2.69,69.82,1.35,65.09,2.15,74.52,2.16,65.22,4.97,56.15,4.94,56.18,5.28,54.84,4.82,58.02,1.04,63.7,3.73,58.56,5.77,58.56
5,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/elliptic/gat/stage1/005_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 32 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels32_K3,0,738.84,0.005,0.0005,0.2,32,3,100.0,0.0,82.27,0.0,81.06,0.59,100.0,0.0,78.19,2.33,70.66,4.41,73.12,4.75,68.35,7.41,65.26,4.22,63.53,3.98,61.43,4.48,73.28,4.76,67.04,4.44,66.47,1.4,70.11,6.5,63.9,9.47,60.6,8.11,60.78,5.03,56.39,5.51,62.2,6.39,54.46,5.25,54.46
6,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels32_K5,search_logs_frontdoor/elliptic/gat/stage1/006_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels32_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 32 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels32_K5,0,923.74,0.005,0.0005,0.2,32,5,100.0,0.0,81.01,0.56,81.94,1.42,100.0,0.0,74.27,0.43,75.68,5.12,70.38,2.51,63.32,5.0,60.15,1.74,59.38,2.22,60.22,8.26,69.25,1.38,65.17,0.91,70.1,2.3,66.65,5.05,57.67,4.49,54.57,3.01,53.74,2.54,57.11,8.66,63.95,0.21,59.42,1.83,59.42
7,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/elliptic/gat/stage1/007_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 64 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels64_K3,0,955.52,0.005,0.0005,0.2,64,3,100.0,0.0,81.31,0.08,83.16,0.9,100.0,0.0,75.99,3.81,78.26,6.54,73.71,1.92,64.98,3.53,62.24,4.32,60.02,3.21,60.86,7.0,71.09,1.07,64.11,1.7,66.22,6.88,60.97,3.02,48.81,2.06,48.9,1.11,46.97,3.66,49.57,0.81,61.7,3.78,57.06,4.61,57.06
8,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels64_K5,search_logs_frontdoor/elliptic/gat/stage1/008_elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels64_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.005 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 64 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.005_weight_decay0.0005_dropout0.2_hidden_channels64_K5,0,855.81,0.005,0.0005,0.2,64,5,100.0,0.0,83.46,1.03,85.15,0.53,100.0,0.0,82.28,0.88,77.09,1.29,73.72,0.87,68.73,0.87,65.87,3.45,66.01,3.35,65.79,6.63,74.16,1.84,69.42,4.63,68.64,4.1,69.71,2.76,60.6,5.55,58.58,6.35,58.29,7.63,54.19,7.46,62.68,10.97,58.59,8.92,58.59
9,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/elliptic/gat/stage1/009_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 32 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels32_K3,0,765.46,0.001,0.0005,0.1,32,3,100.0,0.0,79.43,1.0,78.73,2.17,99.76,0.42,71.35,2.11,67.63,3.4,68.19,2.27,61.51,2.53,58.49,3.65,59.14,1.82,54.98,2.14,68.24,2.57,61.69,2.84,65.43,3.37,66.27,2.21,58.76,2.31,56.17,2.7,57.14,1.16,50.02,2.17,55.41,6.03,48.48,5.59,48.48
10,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels32_K5,search_logs_frontdoor/elliptic/gat/stage1/010_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels32_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 32 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels32_K5,0,709.48,0.001,0.0005,0.1,32,5,100.0,0.0,77.19,3.4,77.14,0.75,97.6,4.16,73.48,1.93,69.29,5.37,68.13,1.18,62.45,3.13,59.6,3.97,62.98,6.28,59.25,8.43,67.26,2.76,62.08,3.51,68.55,5.66,67.39,1.46,60.78,3.25,58.68,3.09,60.42,5.32,52.7,6.37,51.83,3.72,45.62,3.63,45.62
11,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/elliptic/gat/stage1/011_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 64 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels64_K3,0,561.1,0.001,0.0005,0.1,64,3,100.0,0.0,81.36,1.58,81.07,1.04,100.0,0.0,77.59,3.25,73.22,0.5,71.43,1.71,64.86,4.08,63.59,3.93,61.7,1.87,60.63,2.14,72.67,3.09,68.12,4.21,69.49,2.26,69.08,2.62,61.01,6.18,57.49,3.86,57.28,3.26,54.04,0.84,61.94,7.4,56.77,9.37,56.77
12,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels64_K5,search_logs_frontdoor/elliptic/gat/stage1/012_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels64_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 64 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.1_hidden_channels64_K5,0,522.48,0.001,0.0005,0.1,64,5,100.0,0.0,78.51,1.62,82.87,1.35,100.0,0.0,78.19,2.33,68.39,4.31,70.65,2.35,61.9,3.93,61.41,3.58,60.75,1.25,58.75,5.62,69.77,5.73,65.46,4.87,65.98,4.29,67.02,2.44,57.27,2.12,56.46,2.13,57.12,1.08,53.19,1.56,57.94,7.32,51.07,6.29,51.07
13,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/elliptic/gat/stage1/013_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 32 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels32_K3,0,517.75,0.001,0.0005,0.2,32,3,99.27,1.27,78.07,2.1,76.89,3.22,98.04,0.41,73.23,1.37,64.74,4.21,65.53,4.96,58.86,3.87,58.35,3.94,57.29,3.03,55.16,3.78,66.84,2.65,59.01,2.6,61.83,4.9,62.7,5.23,56.5,3.87,54.79,3.05,55.1,2.66,53.19,5.32,58.27,3.1,51.89,3.19,51.89
14,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels32_K5,search_logs_frontdoor/elliptic/gat/stage1/014_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels32_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 32 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels32_K5,0,535.54,0.001,0.0005,0.2,32,5,99.51,0.42,77.54,4.97,77.59,3.25,98.23,1.96,74.02,0.0,65.97,4.75,66.81,1.99,59.14,3.19,57.75,4.41,61.34,6.47,58.02,9.88,66.8,2.17,62.66,4.66,64.21,5.39,65.22,0.55,56.7,2.59,54.7,3.33,57.57,2.49,54.2,5.95,55.4,1.21,49.43,1.67,49.43
15,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/elliptic/gat/stage1/015_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 64 --K 3 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels64_K3,0,497.3,0.001,0.0005,0.2,64,3,100.0,0.0,81.07,1.04,81.66,2.27,100.0,0.0,74.53,1.55,68.08,1.7,69.98,0.41,61.38,2.33,60.23,4.61,60.11,2.92,60.15,2.53,72.28,4.05,65.71,4.99,64.09,3.71,65.91,1.64,54.22,1.13,51.94,2.15,53.81,2.75,52.5,5.1,58.81,5.11,52.66,5.32,52.66
16,elliptic,gat,stage1,elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels64_K5,search_logs_frontdoor/elliptic/gat/stage1/016_elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels64_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gat --store_result --epochs 500 --runs 3 --num_layers 2 --device 1 --lr 0.001 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 64 --K 5 --result_name elliptic_gat_frontdoor_stage1_lr0.001_weight_decay0.0005_dropout0.2_hidden_channels64_K5,0,601.47,0.001,0.0005,0.2,64,5,100.0,0.0,81.07,1.39,81.07,1.39,100.0,0.0,77.79,1.65,67.85,2.26,69.86,0.74,60.85,1.83,57.86,4.69,57.96,3.87,57.73,5.59,67.69,2.97,61.64,1.93,65.31,1.25,65.78,3.74,55.43,6.39,53.28,7.21,51.93,8.26,49.7,3.62,57.21,7.88,54.41,5.97,54.41
