index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/pubmed/gcn/stage1/001_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,226.69,0.01,5e-05,0.1,32,2,99.94,0.01,97.25,0.01,97.11,0.14,99.9,0.02,97.01,0.03,86.05,1.07,84.07,0.21,84.07
2,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/pubmed/gcn/stage1/002_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,280.44,0.01,5e-05,0.1,32,3,99.97,0.02,97.46,0.03,97.26,0.08,99.95,0.03,97.08,0.01,86.58,0.72,82.61,2.38,82.61
3,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/pubmed/gcn/stage1/003_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,392.54,0.01,5e-05,0.1,64,2,99.99,0.01,97.59,0.17,97.54,0.16,99.99,0.01,97.43,0.11,88.85,0.48,86.25,1.03,86.25
4,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/pubmed/gcn/stage1/004_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,392.88,0.01,5e-05,0.1,64,3,99.99,0.01,97.46,0.24,97.44,0.23,99.99,0.0,97.34,0.15,88.68,0.01,86.72,2.78,86.72
5,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/pubmed/gcn/stage1/005_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,375.73,0.01,5e-05,0.2,32,2,99.52,0.0,96.84,0.01,96.54,0.08,99.47,0.04,96.51,0.11,87.57,0.08,84.74,0.08,84.74
6,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/pubmed/gcn/stage1/006_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,311.77,0.01,5e-05,0.2,32,3,99.67,0.06,97.16,0.21,96.95,0.36,99.61,0.11,96.88,0.27,88.41,0.44,86.21,0.26,86.21
7,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/pubmed/gcn/stage1/007_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,352.03,0.01,5e-05,0.2,64,2,99.96,0.03,97.5,0.2,97.45,0.12,99.96,0.02,97.33,0.13,92.74,0.9,88.85,1.5,88.85
8,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/pubmed/gcn/stage1/008_pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,272.22,0.01,5e-05,0.2,64,3,99.97,0.03,97.52,0.02,97.41,0.05,99.93,0.07,97.22,0.13,91.77,0.91,86.92,0.05,86.92
9,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/pubmed/gcn/stage1/009_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,280.98,0.005,5e-05,0.1,32,2,99.97,0.01,97.33,0.16,97.23,0.06,99.95,0.0,97.14,0.09,85.96,0.1,83.95,2.16,83.95
10,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/pubmed/gcn/stage1/010_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,291.92,0.005,5e-05,0.1,32,3,99.98,0.0,97.41,0.01,97.39,0.02,99.98,0.01,97.28,0.09,87.03,1.67,85.69,2.26,85.69
11,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/pubmed/gcn/stage1/011_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,273.2,0.005,5e-05,0.1,64,2,100.0,0.0,97.76,0.02,97.62,0.08,100.0,0.0,97.57,0.09,89.71,1.31,86.64,1.27,86.64
12,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/pubmed/gcn/stage1/012_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,263.31,0.005,5e-05,0.1,64,3,100.0,0.0,97.63,0.15,97.68,0.02,100.0,0.0,97.57,0.07,88.56,0.8,85.76,1.44,85.76
13,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/pubmed/gcn/stage1/013_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,207.09,0.005,5e-05,0.2,32,2,99.6,0.07,97.03,0.17,96.87,0.2,99.56,0.06,96.78,0.17,87.81,0.26,86.2,0.18,86.2
14,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/pubmed/gcn/stage1/014_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,218.92,0.005,5e-05,0.2,32,3,99.71,0.09,97.21,0.11,96.96,0.03,99.67,0.03,96.83,0.08,88.62,0.55,86.58,0.11,86.58
15,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/pubmed/gcn/stage1/015_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,248.18,0.005,5e-05,0.2,64,2,99.98,0.01,97.63,0.05,97.59,0.01,99.97,0.0,97.54,0.04,93.59,0.44,91.8,1.12,91.8
16,pubmed,gcn,stage1,pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/pubmed/gcn/stage1/016_pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name pubmed_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,281.26,0.005,5e-05,0.2,64,3,99.99,0.0,97.67,0.0,97.61,0.03,99.98,0.0,97.59,0.06,92.94,2.26,89.72,2.32,89.72
