index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/001_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,0,493.56,0.01,5e-05,0.0,32,2,85.39,0.77,73.47,0.16,74.76,0.06,78.61,0.03,74.7,0.02,68.01,0.89,54.92,0.73,64.34,0.18,67.76,0.53,54.5,0.37,64.25,0.1,64.25
2,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/002_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,0,380.72,0.01,5e-05,0.0,32,3,84.56,0.38,73.61,0.26,74.79,0.07,79.42,0.67,74.54,0.09,68.33,0.41,55.02,0.59,64.41,0.05,66.88,1.0,54.81,0.47,63.6,0.05,63.6
3,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/003_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,0,388.1,0.01,5e-05,0.0,64,2,87.59,0.24,73.73,0.03,75.25,0.03,77.36,0.22,74.96,0.12,68.32,0.19,54.58,0.38,64.42,0.15,67.31,0.4,53.77,0.28,63.97,0.21,63.97
4,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/004_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,0,387.28,0.01,5e-05,0.0,64,3,86.04,1.63,73.58,0.26,75.08,0.04,78.86,0.23,75.02,0.08,68.49,0.49,54.72,0.44,64.43,0.24,67.29,0.31,54.11,0.37,63.74,0.19,63.74
5,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/005_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,332.57,0.01,5e-05,0.1,32,2,88.06,1.22,74.32,0.06,75.16,0.18,77.71,0.19,75.05,0.07,67.98,0.15,54.53,0.26,64.14,0.07,66.2,0.1,54.29,0.24,63.49,0.16,63.49
6,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/006_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,343.61,0.01,5e-05,0.1,32,3,87.1,0.1,74.44,0.11,75.25,0.3,78.0,1.04,75.02,0.02,68.04,0.66,54.53,0.21,64.18,0.0,65.88,0.52,53.98,0.14,63.27,0.28,63.27
7,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/007_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,263.44,0.01,5e-05,0.1,64,2,88.69,1.44,74.57,0.03,75.28,0.02,80.07,1.9,74.97,0.3,68.5,0.04,54.39,0.1,64.2,0.05,66.68,0.71,53.56,0.82,62.59,1.38,62.59
8,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/008_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,285.83,0.01,5e-05,0.1,64,3,89.93,2.42,74.6,0.23,75.43,0.19,77.78,0.25,75.33,0.16,68.29,0.19,54.23,0.41,64.28,0.04,67.01,0.17,53.81,0.56,63.73,0.04,63.73
9,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/009_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,440.02,0.01,5e-05,0.2,32,2,82.37,1.62,75.05,0.09,75.59,0.21,80.49,0.25,75.58,0.21,68.46,0.81,54.27,0.11,63.67,0.0,66.18,0.51,53.52,0.25,61.59,0.83,61.59
10,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/010_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,261.86,0.01,5e-05,0.2,32,3,82.45,0.1,75.02,0.24,75.57,0.19,79.65,1.97,75.37,0.08,67.45,0.46,54.26,0.11,63.73,0.09,65.65,0.19,53.58,0.02,62.26,0.52,62.26
11,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/011_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,358.31,0.01,5e-05,0.2,64,2,86.23,1.17,75.03,0.08,75.54,0.0,80.97,0.49,75.41,0.05,68.77,0.52,54.29,0.2,64.08,0.47,67.31,0.18,53.74,0.23,62.88,0.22,62.88
12,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/012_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,266.19,0.01,5e-05,0.2,64,3,85.05,0.87,74.94,0.09,75.83,0.02,82.91,1.05,75.64,0.07,68.8,0.12,54.02,0.21,64.3,0.0,66.71,0.68,53.18,0.03,62.12,0.75,62.12
13,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/013_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K2,0,222.28,0.01,0.0001,0.0,32,2,84.4,1.06,73.3,0.08,74.8,0.03,78.09,0.22,74.68,0.13,68.06,0.04,55.37,0.19,64.22,0.12,67.61,0.32,54.27,0.24,63.94,0.01,63.94
14,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/014_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3,0,238.86,0.01,0.0001,0.0,32,3,86.5,2.61,73.24,0.16,74.75,0.06,78.09,0.29,74.62,0.12,68.41,0.18,55.21,0.74,64.31,0.33,68.02,0.37,54.43,0.3,64.08,0.02,64.08
15,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/015_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels64_K2,0,192.77,0.01,0.0001,0.0,64,2,87.24,0.23,73.58,0.02,75.11,0.03,78.16,0.23,75.04,0.04,68.41,0.17,54.79,0.19,64.45,0.07,67.72,0.35,54.27,0.29,64.03,0.01,64.03
16,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/016_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels64_K3,0,210.73,0.01,0.0001,0.0,64,3,88.2,0.7,73.76,0.33,75.06,0.19,77.61,0.07,75.0,0.21,68.6,0.33,54.51,0.29,64.6,0.01,67.15,0.66,53.77,0.12,63.87,0.4,63.87
17,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/017_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels32_K2,0,187.04,0.01,0.0001,0.1,32,2,88.35,1.5,74.31,0.07,75.06,0.01,80.35,2.56,74.78,0.24,67.73,0.29,54.75,0.22,64.09,0.05,65.94,0.92,54.39,0.11,62.98,0.66,62.98
18,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/018_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels32_K3,0,193.78,0.01,0.0001,0.1,32,3,86.95,0.09,74.59,0.13,75.19,0.2,78.15,0.69,75.16,0.22,68.12,0.14,54.6,0.05,64.13,0.04,66.53,0.57,54.42,0.11,63.5,0.17,63.5
19,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/019_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels64_K2,0,218.92,0.01,0.0001,0.1,64,2,87.84,2.07,74.45,0.05,75.34,0.01,78.2,0.91,75.24,0.06,68.76,0.04,54.5,0.29,64.24,0.14,66.99,0.91,54.18,0.2,63.31,0.05,63.31
20,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/020_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.1_hidden_channels64_K3,0,199.54,0.01,0.0001,0.1,64,3,88.93,2.08,74.53,0.22,75.27,0.05,79.47,0.85,75.11,0.09,68.86,0.34,54.53,0.26,64.53,0.24,67.2,0.28,53.83,0.29,63.34,0.56,63.34
21,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/021_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels32_K2,0,201.13,0.01,0.0001,0.2,32,2,82.22,1.56,75.03,0.15,75.66,0.0,80.37,0.05,75.46,0.05,67.98,0.81,54.33,0.2,63.65,0.04,67.01,0.65,53.89,0.22,62.31,0.31,62.31
22,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/022_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels32_K3,0,166.29,0.01,0.0001,0.2,32,3,82.57,0.05,74.93,0.04,75.64,0.06,79.42,2.04,75.29,0.13,67.94,0.62,54.31,0.2,63.88,0.15,66.02,0.34,53.65,0.23,62.72,0.28,62.72
23,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/023_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels64_K2,0,189.19,0.01,0.0001,0.2,64,2,86.66,0.93,74.91,0.12,75.48,0.06,81.42,1.08,75.36,0.19,68.86,0.31,54.39,0.02,64.04,0.17,66.43,0.09,53.79,0.22,62.16,0.76,62.16
24,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/024_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay0.0001_dropout0.2_hidden_channels64_K3,0,205.01,0.01,0.0001,0.2,64,3,85.66,0.07,74.98,0.04,75.68,0.21,81.49,1.7,75.5,0.08,68.31,0.17,54.08,0.11,64.02,0.09,66.97,0.03,53.5,0.01,62.61,1.0,62.61
25,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/025_twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K2,0,274.81,0.005,5e-05,0.0,32,2,83.64,4.53,73.34,0.05,74.83,0.03,78.41,0.68,74.8,0.06,67.97,0.04,55.03,0.2,64.28,0.2,67.41,0.56,54.33,0.04,64.07,0.03,64.07
26,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/026_twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3,0,293.09,0.005,5e-05,0.0,32,3,85.22,2.6,73.4,0.34,74.92,0.2,78.11,0.88,74.83,0.06,68.18,0.13,54.84,0.09,64.31,0.02,67.34,0.15,54.01,0.48,63.9,0.05,63.9
27,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/027_twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K2,0,321.81,0.005,5e-05,0.0,64,2,90.85,3.05,73.51,0.0,74.77,0.25,78.59,0.31,74.64,0.43,68.31,0.11,54.59,0.04,64.55,0.07,67.18,0.46,54.38,0.07,64.08,0.21,64.08
28,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/028_twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels64_K3,0,312.46,0.005,5e-05,0.0,64,3,92.57,0.05,73.61,0.12,74.92,0.03,78.25,0.61,74.88,0.01,68.55,0.12,54.48,0.12,64.52,0.02,67.25,0.23,54.11,0.09,63.97,0.05,63.97
29,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/029_twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,340.35,0.005,5e-05,0.1,32,2,85.81,1.69,74.51,0.01,75.26,0.13,80.77,0.52,75.09,0.18,67.86,0.06,54.62,0.41,64.18,0.03,65.86,0.54,54.34,0.54,63.17,0.12,63.17
